trip_id,start_time,end_time,headway_secs,exact_times
ebe2ce54-8ceb-4368-b4fb-b8c4def3a0bb,20:00:00,24:00:00,3600,0
f29cd6c4-455a-4e0e-956e-ed01899f6efd,21:00:00,24:00:00,3600,0
7ab4caa9-7fa9-409f-b097-41b801ad234d,05:00:00,06:00:00,1200,0
af91a470-4084-41f6-93e1-236622610c5c,04:00:00,05:00:00,720,0
4bb3664a-c9b8-4a57-9778-6702dce69008,21:00:00,22:00:00,1800,0
be63b143-229f-4c42-88b5-41f7c648d47a,23:00:00,24:00:00,1800,0
eeb9e692-f172-4a12-82f3-f96853625426,24:00:00,25:00:00,1200,0
08b0014b-0df2-4eee-84cb-5bd52856baf2,27:00:00,29:00:00,3600,0
090b8306-cb8b-4143-992d-ed12c4387203,22:00:00,23:00:00,1800,0
551600b3-dc41-4ad9-b67c-0e2f43e65ece,23:00:00,24:00:00,1800,0
9e96d304-f51b-454e-9b80-23eb654cbfe5,22:00:00,23:00:00,1800,0
a8cdf886-aa1f-41ea-95c1-fd24a5689989,28:00:00,29:00:00,1800,0
fa7b34ee-947e-4902-9b72-d2fcb6551d1c,22:00:00,28:00:00,3600,0
84f0db06-2be9-4090-9896-40996ee1fc04,22:00:00,28:00:00,3600,0
478a925e-fa79-4e2e-9b25-fe0187618aff,22:00:00,23:00:00,1800,0
d1597b4c-04db-4dfc-9fd6-379ca9ffcacb,09:00:00,12:00:00,1200,0
7a22f74a-d5f1-48b6-9d3d-0dd219f7bfab,22:00:00,28:00:00,3600,0
9f535d43-ed0d-4cf4-8ecc-0145ce23d9c9,24:00:00,25:00:00,1200,0
d808f5fc-60e3-4d86-bfa6-ab014fd78e98,22:00:00,23:00:00,1800,0
34fd20e9-72cd-4ebf-b5be-8f27da42d15a,28:00:00,29:00:00,900,0
4fedbc98-4b1e-48bf-af74-79c7c7457bb4,23:00:00,27:00:00,3600,0
0b8bddfe-7360-4d85-8575-5250cc86b0cf,23:00:00,29:00:00,3600,0
bd1562fb-275f-4033-81ce-98ec68d652ed,24:00:00,25:00:00,1800,0
d221da00-4e2a-48f6-89ba-f869924e3f2f,17:00:00,18:00:00,900,0
f942809c-d0a4-45cc-80a5-e8da108c0aa9,18:00:00,21:00:00,1200,0
90d72936-443c-42cd-90d6-0331cf4a25ec,05:20:00,18:40:00,4800,0
ef8b4dc0-7b68-4f21-878d-1d6e8a889080,11:00:00,12:00:00,900,0
8681e0ec-9cf5-4f74-b56a-f1443f5e8474,24:00:00,25:00:00,1800,0
071ac67f-cbb4-40b6-bfa4-229d6a7733dd,25:00:00,29:00:00,3600,0
65016d98-f82f-47b7-b393-cb3fe69e6bfd,22:00:00,28:00:00,3600,0
8aa04494-c8c3-49bc-a693-b8c13c1c1d25,23:00:00,28:00:00,3600,0
c071ec49-72fe-4748-8754-a0fc512f62a6,28:00:00,29:00:00,1800,0
7301d3e8-afbe-438c-83ee-3cc4a461399f,23:00:00,28:00:00,3600,0
903ed7ba-7806-4e39-bc4d-37b1b9264e99,18:00:00,21:00:00,1080,0
64d4a698-f6a9-4d45-bb79-932c55c8b1a7,15:00:00,15:48:00,480,0
60448aa0-8548-4135-9347-ce5b04788f9a,04:00:00,19:00:00,3600,0
6abf6b6d-b3bb-4bc2-b939-4d3e92c8a46a,07:00:00,09:00:00,900,0
37a3cca2-3598-42d8-97f6-cf70a63e0b01,15:00:00,16:00:00,1800,0
fbe6f72d-87ae-444d-aea5-68ed855dec18,12:00:00,14:00:00,1200,0
a92486b2-8fec-4684-85f9-3bbefcb5110f,20:40:00,21:00:00,1200,0
8188767c-a857-4da1-ad14-f786abaac2e6,18:00:00,23:00:00,3600,0
4f710ee5-6d42-4aba-beb3-d50ea72ff0d9,25:00:00,26:00:00,1800,0
c11944b3-b8a8-471a-a21e-62436d40bac6,23:00:00,29:00:00,3600,0
df63280e-4f8f-40a0-af22-29684a852b95,19:00:00,20:00:00,1800,0
f62976b0-b1f7-4f1e-9a6f-afede7f44b1b,23:00:00,29:00:00,3600,0
7b4da3ff-cb39-4604-bd67-90a972cdc95a,18:00:00,19:00:00,900,0
f96dd0ef-9245-437e-a355-63c537d39bca,03:00:00,05:00:00,3600,0
050910cc-807c-449f-bc65-91ccfe5af476,23:00:00,28:00:00,3600,0
d1c33acb-13d7-4c72-a0ef-adc2ef64804d,22:00:00,23:00:00,1800,0
6ed5cb3d-c3f3-40a0-8e11-0971d07e2ffc,27:00:00,28:00:00,3600,0
db2d1814-2440-4e0e-a050-f3b63247d8dc,28:00:00,29:00:00,1800,0
bc96c3ee-0fda-4c4c-9ef7-d44791f7e4d1,11:00:00,13:00:00,1200,0
2393bf4c-9ce5-4706-a181-bafea4f92584,05:00:00,06:00:00,3600,0
c97bf1a9-12f6-4d0a-8bb9-075476592a54,26:00:00,29:00:00,3600,0
d8895c74-3ecf-4146-a44c-21b52b5a45a3,22:00:00,28:00:00,3600,0
f20e0f14-dff5-43f6-a3b8-d4a2cac133bd,23:00:00,24:00:00,1800,0
18d12929-55be-429e-b68d-c0a0630e00a3,24:00:00,26:00:00,1200,0
ffba97bf-6b75-44c6-94ec-5371da56134a,23:00:00,24:00:00,3600,0
